1024; 3; 522; 600; 8.5036; 8.52839;  200;
1024; 3; 522; 600; 8.5033; 8.52718;  200;
1024; 3; 522; 600; 8.4929; 8.51719;  200;
1024; 3; 522; 600; 8.4966; 8.52059;  200;
1024; 3; 522; 600; 8.4320; 8.45594;  200;
1024; 3; 522; 600; 8.4405; 8.46429;  200;
1024; 3; 522; 600; 8.4328; 8.45651;  200;
1024; 3; 522; 600; 8.4412; 8.46552;  200;
1024; 3; 522; 600; 8.4412; 8.46524;  200;
1024; 3; 522; 600; 8.4409; 8.46518;  200;
2048; 3; 522; 600; 10.2145; 10.24887;  200;
2048; 3; 522; 600; 10.2185; 10.25325;  200;
2048; 3; 522; 600; 10.2142; 10.24867;  200;
2048; 3; 522; 600; 10.2130; 10.24751;  200;
2048; 3; 522; 600; 10.2135; 10.24824;  200;
2048; 3; 522; 600; 10.2119; 10.24625;  200;
2048; 3; 522; 600; 10.2225; 10.25742;  200;
2048; 3; 522; 600; 10.2069; 10.24109;  200;
2048; 3; 522; 600; 10.2082; 10.24250;  200;
2048; 3; 522; 600; 10.2154; 10.24982;  200;
4096; 3; 522; 600; 12.1474; 12.19732;  200;
4096; 3; 522; 600; 12.0633; 12.10983;  200;
4096; 3; 522; 600; 12.1727; 12.22220;  200;
4096; 3; 522; 600; 12.1117; 12.15913;  200;
4096; 3; 522; 600; 12.0931; 12.14098;  200;
4096; 3; 522; 600; 12.0662; 12.11297;  200;
4096; 3; 522; 600; 12.0855; 12.13306;  200;
4096; 3; 522; 600; 12.0796; 12.12637;  200;
4096; 3; 522; 600; 12.0735; 12.12049;  200;
4096; 3; 522; 600; 12.1136; 12.16081;  200;
8192; 3; 522; 600; 15.5117; 15.57399;  200;
8192; 3; 522; 600; 15.5376; 15.60360;  200;
8192; 3; 522; 600; 15.9055; 15.97609;  200;
8192; 3; 522; 600; 15.6832; 15.74830;  200;
8192; 3; 522; 600; 15.6558; 15.71843;  200;
8192; 3; 522; 600; 15.5644; 15.62680;  200;
8192; 3; 522; 600; 15.7047; 15.77030;  200;
8192; 3; 522; 600; 15.7684; 15.83660;  200;
8192; 3; 522; 600; 15.7184; 15.78596;  199;
8192; 3; 522; 600; 15.7492; 15.81628;  200;
