run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 3; 15; 2; 8192; 25.77908; 0.01776; 0.00091; 0.32790;  7.42760; 0.03986;  0.03986; 0.00007 ;  15406.038089 ; 138.156489 ;
 4; 15; 2; 8192; 25.77215; 0.01558; 0.00090; 0.32417;  7.50221; 0.03987;  0.03987; 0.00014 ;  15560.792740 ; 139.261770 ;
 0; 15; 3; 1024; 0.23401; 0.05802; 0.00007; 0.01566;  0.06818; 0.00033;  0.00033; 0.00009 ;  11015.062580 ; 1.338171 ;
 1; 15; 3; 1024; 0.01430; 0.00134; 0.00006; 0.01110;  0.06479; 0.00025;  0.00025; 0.00003 ;  11105.540461 ; 1.004544 ;
 2; 15; 3; 1024; 0.01387; 0.00101; 0.00005; 0.01110;  0.06490; 0.00028;  0.00028; 0.00003 ;  11152.989756 ; 1.005975 ;
 3; 15; 3; 1024; 0.01427; 0.00103; 0.00005; 0.01112;  0.06499; 0.00032;  0.00032; 0.00003 ;  11124.750970 ; 1.008617 ;
 4; 15; 3; 1024; 0.01410; 0.00099; 0.00005; 0.01109;  0.06496; 0.00025;  0.00025; 0.00007 ;  10997.667678 ; 1.006540 ;
 0; 15; 3; 2048; 0.32903; 0.00104; 0.00006; 0.01122;  0.06568; 0.00046;  0.00046; 0.00003 ;  10913.632710 ; 1.337510 ;
 1; 15; 3; 2048; 0.32909; 0.00105; 0.00005; 0.01119;  0.06601; 0.00047;  0.00047; 0.00003 ;  10969.689518 ; 1.342387 ;
 2; 15; 3; 2048; 0.32977; 0.00110; 0.00005; 0.01124;  0.06586; 0.00051;  0.00051; 0.00003 ;  10955.599770 ; 1.341958 ;
 3; 15; 3; 2048; 0.32880; 0.00103; 0.00005; 0.01119;  0.06562; 0.00046;  0.00046; 0.00003 ;  11000.883354 ; 1.336272 ;
 4; 15; 3; 2048; 0.32941; 0.00105; 0.00005; 0.01119;  0.06581; 0.00047;  0.00047; 0.00005 ;  10993.924111 ; 1.340043 ;
 0; 15; 3; 4096; 1.28204; 0.00107; 0.00006; 0.01121;  0.07267; 0.00092;  0.00092; 0.00003 ;  10897.194852 ; 2.405674 ;
 1; 15; 3; 4096; 1.28262; 0.00120; 0.00006; 0.01125;  0.07302; 0.00090;  0.00090; 0.00007 ;  10860.036167 ; 2.411165 ;
 2; 15; 3; 4096; 1.28079; 0.00113; 0.00006; 0.01125;  0.07312; 0.00105;  0.00105; 0.00004 ;  10854.498753 ; 2.413289 ;
