run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
14; 15; 1; 2048; 0.00049; 0.00419; 0.00001; 0.00092;  4.046667e-06; 7.500867e-06; 0.19543;  0.201276 ;  
15; 15; 1; 2048; 0.00048; 0.00420; 0.00001; 0.00092;  3.946467e-06; 7.349267e-06; 0.19902;  0.204861 ;  
16; 15; 1; 2048; 0.00048; 0.00419; 0.00001; 0.00092;  4.091667e-06; 7.565200e-06; 0.19602;  0.201864 ;  
17; 15; 1; 2048; 0.00032; 0.00418; 0.00001; 0.00092;  3.843200e-06; 7.188667e-06; 0.19563;  0.201296 ;  
18; 15; 1; 2048; 0.00048; 0.00423; 0.00001; 0.00092;  4.014200e-06; 7.522467e-06; 0.19575;  0.201624 ;  
19; 15; 1; 2048; 0.00051; 0.00417; 0.00001; 0.00092;  3.964000e-06; 7.383800e-06; 0.19508;  0.200938 ;  
20; 15; 1; 2048; 0.00050; 0.00422; 0.00001; 0.00092;  4.135067e-06; 7.564867e-06; 0.19541;  0.201304 ;  
21; 15; 1; 2048; 0.00051; 0.00419; 0.00001; 0.00092;  3.978867e-06; 7.500600e-06; 0.19685;  0.202722 ;  
22; 15; 1; 2048; 0.00053; 0.00424; 0.00001; 0.00092;  4.794000e-06; 8.037800e-06; 0.19911;  0.205064 ;  
23; 15; 1; 2048; 0.00033; 0.00421; 0.00001; 0.00092;  4.097933e-06; 7.422600e-06; 0.19547;  0.201178 ;  
24; 15; 1; 2048; 0.00049; 0.00421; 0.00001; 0.00092;  4.091667e-06; 7.545333e-06; 0.19534;  0.201222 ;  
25; 15; 1; 2048; 0.00066; 0.00422; 0.00002; 0.00092;  4.107133e-06; 8.262000e-06; 0.19740;  0.203488 ;  
26; 15; 1; 2048; 0.00051; 0.00423; 0.00001; 0.00092;  4.082133e-06; 8.364067e-06; 0.19564;  0.201565 ;  
27; 15; 1; 2048; 0.00069; 0.00421; 0.00001; 0.00092;  4.011667e-06; 7.760533e-06; 0.19515;  0.201216 ;  
28; 15; 1; 2048; 0.00049; 0.00420; 0.00001; 0.00093;  4.019133e-06; 7.428867e-06; 0.19719;  0.203056 ;  
29; 15; 1; 2048; 0.00031; 0.00419; 0.00001; 0.00092;  3.981067e-06; 8.427600e-06; 0.19568;  0.201375 ;  
0; 15; 1; 4096; 0.00067; 0.01259; 0.00001; 0.00092;  4.104733e-06; 7.534000e-06; 0.20213;  0.216568 ;  
1; 15; 1; 4096; 0.00068; 0.01260; 0.00001; 0.00092;  4.063000e-06; 7.553267e-06; 0.20090;  0.215356 ;  
