0,15,1,1024,0.12113,0.00154,1E-05,0.00128,0.01598,4E-05,2E-05,0.366755
1,15,1,1024,0.00038,0.00156,1E-05,0.00123,0.01209,3E-05,2E-05,0.186886
2,15,1,1024,0.00028,0.00134,1E-05,0.00091,0.01164,3E-05,2E-05,0.179435
3,15,1,1024,0.00047,0.00136,1E-05,0.00093,0.01164,3E-05,2E-05,0.179716
4,15,1,1024,0.00029,0.00136,1E-05,0.00093,0.01168,3E-05,2E-05,0.180073
0,15,1,2048,0.00045,0.00419,1E-05,0.00092,0.01165,4E-05,2E-05,0.18459
1,15,1,2048,0.00046,0.00422,1E-05,0.00092,0.01165,4E-05,2E-05,0.184625
2,15,1,2048,0.00045,0.00419,1E-05,0.00093,0.01167,4E-05,2E-05,0.184803
3,15,1,2048,0.00029,0.00416,1E-05,0.00092,0.01165,4E-05,2E-05,0.184364
4,15,1,2048,0.00064,0.00422,1E-05,0.00092,0.01165,5E-05,7E-05,0.184952
0,15,1,4096,0.00075,0.01255,1E-05,0.00092,0.01304,7E-05,2E-05,0.217913
1,15,1,4096,0.00063,0.01259,1E-05,0.00092,0.01311,7E-05,2E-05,0.218755
2,15,1,4096,0.00348,0.01265,1E-05,0.00092,0.01288,7E-05,2E-05,0.218222
3,15,1,4096,0.00066,0.01259,1E-05,0.00092,0.01303,7E-05,2E-05,0.217672
4,15,1,4096,0.00067,0.01255,1E-05,0.00092,0.01317,7E-05,2E-05,0.219707
0,15,1,8192,0.00081,0.16162,1E-05,0.00093,0.01838,0.00013,2E-05,0.45454
1,15,1,8192,0.00083,0.16155,1E-05,0.00092,0.0184,0.00012,2E-05,0.454767
2,15,1,8192,0.00083,0.16166,1E-05,0.00092,0.01874,0.00013,2E-05,0.460025
3,15,1,8192,0.00156,0.16155,1E-05,0.00093,0.01835,0.00013,2E-05,0.454873
4,15,1,8192,0.00086,0.16157,1E-05,0.00092,0.01837,0.00013,2E-05,0.454503
0,15,3,1024,0.12755,0.01404,1E-05,0.01901,0.14938,0.00025,6E-05,2.407299
1,15,3,1024,0.00098,0.0133,1E-05,0.01356,0.144,0.00024,2E-05,2.193731
2,15,3,1024,0.00067,0.01333,1E-05,0.01355,0.14358,0.00025,5E-05,2.18718
3,15,3,1024,0.0009,0.01333,1E-05,0.01356,0.14456,0.00024,2E-05,2.201951
4,15,3,1024,0.0008,0.01328,1E-05,0.01354,0.14373,0.00024,2E-05,2.189454
0,15,3,2048,0.00084,0.32784,1E-05,0.01373,0.14648,0.00046,5E-05,2.550509
1,15,3,2048,0.00092,0.32827,1E-05,0.0136,0.14605,0.00046,2E-05,2.54441
2,15,3,2048,0.00084,0.32808,1E-05,0.01363,0.14599,0.00046,5E-05,2.543324
3,15,3,2048,0.00093,0.32811,1E-05,0.01361,0.14738,0.00046,2E-05,2.563992
4,15,3,2048,0.00564,0.32807,1E-05,0.0136,0.14604,0.00046,2E-05,2.548621
0,15,3,4096,0.00092,1.27892,2E-05,0.0136,0.18728,0.00089,3E-05,4.123152
1,15,3,4096,0.00113,1.27975,1E-05,0.01369,0.18634,0.0009,2E-05,4.110273
2,15,3,4096,0.00089,1.28045,1E-05,0.01365,0.18832,0.0009,2E-05,4.140483
3,15,3,4096,0.00105,1.27978,1E-05,0.01367,0.18616,0.0009,5E-05,4.107648
4,15,3,4096,0.001,1.28055,1E-05,0.01367,0.18767,0.0009,2E-05,4.131004
0,15,3,8192,0.00114,3.20011,1E-05,0.01382,0.25152,0.00178,3E-05,7.029036
1,15,3,8192,0.00094,3.20424,1E-05,0.01376,0.25216,0.00178,2E-05,7.042365
2,15,3,8192,0.00116,3.2031,1E-05,0.01403,0.25185,0.00179,6E-05,7.037835
3,15,3,8192,0.0011,3.20536,1E-05,0.01385,0.25192,0.00179,2E-05,7.04059
4,15,3,8192,0.00114,3.20122,1E-05,0.01388,0.25244,0.00179,2E-05,7.044246
0,15,5,1024,0.18911,0.01462,1E-05,0.01978,0.16953,0.00025,6E-05,2.772602
1,15,5,1024,0.00108,0.01377,1E-05,0.01385,0.16627,0.00025,5E-05,2.528831
2,15,5,1024,0.00087,0.01387,1E-05,0.0139,0.16571,0.00025,2E-05,2.520233
3,15,5,1024,0.00066,0.01382,1E-05,0.01388,0.16555,0.00025,3E-05,2.517481
