Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
12;15;3;1024;0;15767.68872;0.84177; 
13;15;3;1024;0;15156.25911;0.76979; 
14;15;3;1024;0;15430.61034;0.83031; 
15;15;3;1024;0;15758.91624;0.77215; 
16;15;3;1024;0;15761.44144;0.81052; 
17;15;3;1024;0;15843.16533;0.77106; 
18;15;3;1024;0;16044.15592;0.81104; 
19;15;3;1024;0;15449.52106;0.77222; 
20;15;3;1024;0;15933.20454;0.76838; 
21;15;3;1024;0;15837.65188;0.76604; 
22;15;3;1024;0;15749.45011;0.76993; 
23;15;3;1024;0;15925.84754;0.77487; 
24;15;3;1024;0;16092.67549;0.76491; 
25;15;3;1024;0;15794.18647;0.76883; 
26;15;3;1024;0;15639.13669;0.76443; 
27;15;3;1024;0;15797.21866;0.77178; 
28;15;3;1024;0;15339.87207;0.77032; 
29;15;3;1024;0;15948.53909;0.80743; 
30;15;3;1024;0;15622.39885;0.77155; 
1;15;3;2048;0;15606.37348;0.82667; 
2;15;3;2048;0;15452.00224;0.77701; 
3;15;3;2048;0;15564.39046;0.81940; 
4;15;3;2048;0;15599.13449;0.77513; 
5;15;3;2048;0;15564.65302;0.84177; 
6;15;3;2048;0;15771.29820;0.78291; 
7;15;3;2048;0;15468.64499;0.84162; 
8;15;3;2048;0;15520.53145;0.77613; 
9;15;3;2048;0;15694.25671;0.83803; 
10;15;3;2048;0;15611.95856;0.77625; 
11;15;3;2048;0;15346.81483;0.84815; 
12;15;3;2048;0;15845.34773;0.78191; 
13;15;3;2048;0;15464.31457;0.81822; 
14;15;3;2048;0;15802.00818;0.78098; 
15;15;3;2048;0;15803.56554;0.81112; 
16;15;3;2048;0;15740.79299;0.78189; 
17;15;3;2048;0;15898.29886;0.79691; 
18;15;3;2048;0;15348.28510;0.78384; 
19;15;3;2048;0;15725.63954;0.77346; 
20;15;3;2048;0;15610.63762;0.78002; 
21;15;3;2048;0;15723.98217;0.79512; 
22;15;3;2048;0;15619.98835;0.77638; 
23;15;3;2048;0;15600.80663;0.78278; 
24;15;3;2048;0;15905.86616;0.80782; 
25;15;3;2048;0;15691.58177;0.77773; 
26;15;3;2048;0;15538.80009;0.78680; 
27;15;3;2048;0;15463.61950;0.78436; 
28;15;3;2048;0;15661.92580;0.78293; 
29;15;3;2048;0;15741.63716;0.78388; 
30;15;3;2048;0;15482.00378;0.81822; 
1;15;3;4096;0;15562.06338;0.91750; 
2;15;3;4096;0;15658.95289;0.98779; 
3;15;3;4096;0;15623.10049;0.92112; 
4;15;3;4096;0;15233.96035;0.91786; 
5;15;3;4096;0;15245.91727;0.92146; 
6;15;3;4096;0;15576.20457;0.93087; 
7;15;3;4096;0;15698.75781;0.95803; 
8;15;3;4096;0;15398.15380;0.91876; 
9;15;3;4096;0;15728.13467;0.99259; 
10;15;3;4096;0;15917.10251;0.91626; 
11;15;3;4096;0;15723.56532;0.97068; 
12;15;3;4096;0;15719.83172;0.92342; 
13;15;3;4096;0;15513.39424;0.91837; 
14;15;3;4096;0;15730.36037;0.91953; 
15;15;3;4096;0;15511.79699;0.91843; 
16;15;3;4096;0;15447.47943;0.94812; 
17;15;3;4096;0;14819.07189;0.92210; 
18;15;3;4096;0;15579.53358;0.98345; 
19;15;3;4096;0;15610.76279;0.92301; 
20;15;3;4096;0;15601.47447;0.98239; 
21;15;3;4096;0;15672.59954;0.91528; 
22;15;3;4096;0;15399.67241;0.95346; 
23;15;3;4096;0;15600.37740;0.92306; 
24;15;3;4096;0;15419.91420;0.91656; 
25;15;3;4096;0;15623.08028;0.91950; 
26;15;3;4096;0;15413.68158;0.91795; 
27;15;3;4096;0;15442.31897;0.95149; 
28;15;3;4096;0;15559.69279;0.92068; 
29;15;3;4096;0;15474.20036;0.99541; 
30;15;3;4096;0;15861.09827;0.93733; 
1;15;3;8192;0;15788.34605;1.72310; 
2;15;3;8192;0;15505.05874;1.77802; 
3;15;3;8192;0;15274.66646;1.83267; 
4;15;3;8192;0;15183.61970;1.80628; 
5;15;3;8192;0;15600.89998;1.74678; 
6;15;3;8192;0;15392.18336;1.80883; 
7;15;3;8192;0;15581.81976;1.77676; 
8;15;3;8192;0;15591.79854;1.75718; 
9;15;3;8192;0;15295.48128;1.74288; 
10;15;3;8192;0;15224.07459;1.77559; 
11;15;3;8192;0;15786.93095;1.78507; 
12;15;3;8192;0;15683.26224;1.77803; 
13;15;3;8192;0;15818.94060;1.77852; 
14;15;3;8192;0;15351.43943;1.80905; 
15;15;3;8192;0;15690.83627;1.79819; 
16;15;3;8192;0;14995.67329;1.78976; 
17;15;3;8192;0;15439.53696;1.80136; 
18;15;3;8192;0;15483.79273;1.81323; 
19;15;3;8192;0;15543.90424;1.83461; 
20;15;3;8192;0;15208.63623;1.76976; 
21;15;3;8192;0;15353.94065;1.81940; 
22;15;3;8192;0;15354.07756;1.80162; 
23;15;3;8192;0;15574.39714;1.78728; 
24;15;3;8192;0;15004.10778;1.78430; 
25;15;3;8192;0;15476.71895;1.80018; 
26;15;3;8192;0;15629.06711;1.77283; 
27;15;3;8192;0;15216.91818;1.79996; 
28;15;3;8192;0;15516.89918;1.79341; 
29;15;3;8192;0;15358.68793;1.79264; 
30;15;3;8192;0;15641.35151;1.80651; 
1;15;5;1024;0;23624.48118;0.87184; 
2;15;5;1024;0;23370.24348;0.84186; 
3;15;5;1024;0;23672.93386;0.86003; 
4;15;5;1024;0;23485.09664;0.84151; 
5;15;5;1024;0;23361.21702;0.90723; 
6;15;5;1024;0;23400.77003;0.83611; 
7;15;5;1024;0;23146.00679;0.86780; 
8;15;5;1024;0;23088.01575;0.84255; 
9;15;5;1024;0;23028.81610;0.87561; 
10;15;5;1024;0;23539.00442;0.84076; 
11;15;5;1024;0;23242.02436;0.91246; 
12;15;5;1024;0;23205.23838;0.84048; 
13;15;5;1024;0;23124.55811;0.87743; 
14;15;5;1024;0;23116.40411;0.83538; 
15;15;5;1024;0;23435.96243;0.84080; 
16;15;5;1024;0;22750.37743;0.83880; 
17;15;5;1024;0;23490.42994;0.87540; 
18;15;5;1024;0;23383.56264;0.84368; 
19;15;5;1024;0;23440.62495;0.84098; 
20;15;5;1024;0;23545.20088;0.83504; 
21;15;5;1024;0;23269.87448;0.88062; 
22;15;5;1024;0;23425.66755;0.83114; 
23;15;5;1024;0;23430.63335;0.84105; 
24;15;5;1024;0;23582.31266;0.84388; 
25;15;5;1024;0;23448.31025;0.84020; 
26;15;5;1024;0;23296.99619;0.83189; 
27;15;5;1024;0;22867.63950;0.84208; 
28;15;5;1024;0;23295.71074;0.82866; 
29;15;5;1024;0;23809.82164;0.83977; 
30;15;5;1024;0;23010.22330;0.84749; 
1;15;5;2048;0;23019.71309;0.85586; 
2;15;5;2048;0;23243.07210;0.84633; 
3;15;5;2048;0;23299.79937;0.84049; 
4;15;5;2048;0;23528.78407;0.84310; 
5;15;5;2048;0;23252.33012;0.84691; 
6;15;5;2048;0;23445.90361;0.84305; 
7;15;5;2048;0;23141.38058;0.84703; 
8;15;5;2048;0;23231.95901;0.84725; 
9;15;5;2048;0;22895.17611;0.84723; 
10;15;5;2048;0;23329.62291;0.84919; 
11;15;5;2048;0;23038.41948;0.83591; 
12;15;5;2048;0;23271.55885;0.87196; 
13;15;5;2048;0;23656.64120;0.84810; 
14;15;5;2048;0;23123.47039;0.88180; 
15;15;5;2048;0;23558.13469;0.83999; 
