Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
12;15;3;1024;0;15512.80863;0.76301; 
13;15;3;1024;0;15940.35344;0.77038; 
14;15;3;1024;0;15922.56936;0.76217; 
15;15;3;1024;0;15932.18611;0.79627; 
16;15;3;1024;0;15510.32003;0.75952; 
17;15;3;1024;0;15506.42392;0.76130; 
18;15;3;1024;0;15892.88590;0.76876; 
19;15;3;1024;0;16049.49572;0.76334; 
20;15;3;1024;0;15648.05549;0.76938; 
21;15;3;1024;0;16060.78408;0.76494; 
22;15;3;1024;0;15632.80458;0.76057; 
23;15;3;1024;0;15491.43730;0.80389; 
24;15;3;1024;0;16035.19660;0.85066; 
25;15;3;1024;0;16086.84661;0.82058; 
26;15;3;1024;0;15418.75702;0.80509; 
27;15;3;1024;0;15943.31671;0.81781; 
28;15;3;1024;0;16014.73906;0.76465; 
29;15;3;1024;0;15788.61631;0.76986; 
30;15;3;1024;0;15820.45530;0.76526; 
1;15;3;2048;0;15851.50030;0.77044; 
2;15;3;2048;0;15576.26333;0.78737; 
3;15;3;2048;0;16117.04608;0.82061; 
4;15;3;2048;0;15789.24098;0.77112; 
5;15;3;2048;0;15274.84429;0.78192; 
6;15;3;2048;0;15765.05668;0.77056; 
7;15;3;2048;0;15884.94668;0.81363; 
8;15;3;2048;0;15745.25743;0.77147; 
9;15;3;2048;0;15787.52354;0.81840; 
10;15;3;2048;0;14987.59168;0.77783; 
11;15;3;2048;0;15889.60553;0.80461; 
12;15;3;2048;0;14953.13042;0.77375; 
13;15;3;2048;0;15615.67296;0.81463; 
14;15;3;2048;0;15726.71863;0.77076; 
15;15;3;2048;0;15907.71267;0.79931; 
16;15;3;2048;0;15776.76434;0.77649; 
17;15;3;2048;0;15662.64765;0.77025; 
18;15;3;2048;0;15770.50456;0.77458; 
19;15;3;2048;0;15299.35074;0.77740; 
20;15;3;2048;0;15651.22782;0.77063; 
21;15;3;2048;0;15619.00501;0.77550; 
22;15;3;2048;0;15749.44363;0.80258; 
23;15;3;2048;0;15672.55885;0.77094; 
24;15;3;2048;0;15712.55341;0.78744; 
25;15;3;2048;0;15178.62855;0.77756; 
26;15;3;2048;0;15405.74296;0.81730; 
27;15;3;2048;0;15582.84984;0.77596; 
28;15;3;2048;0;16039.62928;0.81344; 
29;15;3;2048;0;15535.56141;0.77006; 
30;15;3;2048;0;15189.92699;0.80969; 
1;15;3;4096;0;15271.14259;0.91056; 
2;15;3;4096;0;15326.85890;0.94267; 
3;15;3;4096;0;15652.94314;0.91341; 
4;15;3;4096;0;15502.30403;0.92563; 
5;15;3;4096;0;15523.01863;0.91583; 
6;15;3;4096;0;15518.71929;0.91425; 
7;15;3;4096;0;15067.49225;0.91246; 
8;15;3;4096;0;15324.26477;0.91468; 
9;15;3;4096;0;15596.78677;0.90918; 
10;15;3;4096;0;15630.40782;0.91593; 
11;15;3;4096;0;15588.07624;0.94271; 
12;15;3;4096;0;15656.33484;0.91303; 
13;15;3;4096;0;15327.14259;0.94483; 
14;15;3;4096;0;15489.31395;0.91084; 
15;15;3;4096;0;14811.53996;0.91081; 
16;15;3;4096;0;15413.84966;0.91205; 
17;15;3;4096;0;15544.98343;0.91240; 
18;15;3;4096;0;15784.61147;0.92557; 
19;15;3;4096;0;15681.83225;0.91698; 
20;15;3;4096;0;15902.13709;0.92268; 
21;15;3;4096;0;15485.24350;0.92078; 
22;15;3;4096;0;15753.37989;0.93757; 
23;15;3;4096;0;15779.81842;0.92258; 
24;15;3;4096;0;15818.52688;0.95768; 
25;15;3;4096;0;14821.63971;0.91846; 
26;15;3;4096;0;15565.86048;0.96115; 
27;15;3;4096;0;15638.87248;0.91981; 
28;15;3;4096;0;15714.15777;0.92245; 
29;15;3;4096;0;15326.24136;0.93700; 
30;15;3;4096;0;15641.05187;0.96764; 
1;15;3;8192;0;15473.13194;1.72525; 
2;15;3;8192;0;15183.75020;1.72044; 
3;15;3;8192;0;15151.94481;1.71881; 
4;15;3;8192;0;15576.01256;1.72513; 
5;15;3;8192;0;15207.41919;1.72009; 
6;15;3;8192;0;15446.54749;1.71727; 
7;15;3;8192;0;15681.04784;1.72331; 
8;15;3;8192;0;15576.05670;1.72286; 
9;15;3;8192;0;15547.81687;1.73420; 
10;15;3;8192;0;15741.49052;1.73562; 
11;15;3;8192;0;15600.03838;1.73586; 
12;15;3;8192;0;15348.20742;1.72938; 
13;15;3;8192;0;15761.52111;1.77203; 
14;15;3;8192;0;15371.86334;1.74050; 
15;15;3;8192;0;15540.57146;1.75459; 
16;15;3;8192;0;15631.88238;1.80402; 
17;15;3;8192;0;15297.83642;1.78231; 
18;15;3;8192;0;15503.63063;1.78488; 
19;15;3;8192;0;14984.17392;1.78274; 
20;15;3;8192;0;15251.15367;1.75533; 
21;15;3;8192;0;14972.81917;1.75825; 
22;15;3;8192;0;15681.42877;1.74661; 
23;15;3;8192;0;15321.57671;1.77360; 
24;15;3;8192;0;15386.08133;1.76226; 
25;15;3;8192;0;15492.50303;1.73155; 
26;15;3;8192;0;15467.80589;1.72810; 
27;15;3;8192;0;15284.56606;1.73140; 
28;15;3;8192;0;15299.63530;1.73893; 
29;15;3;8192;0;15448.99787;1.73158; 
30;15;3;8192;0;14906.03393;1.73459; 
