Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
12;15;3;1024;0;15742.02995;0.76000; 
13;15;3;1024;0;15557.77317;0.76000; 
14;15;3;1024;0;15468.48682;0.76000; 
15;15;3;1024;0;15777.13444;0.75000; 
16;15;3;1024;0;16004.45532;0.76000; 
17;15;3;1024;0;15578.72468;0.75000; 
18;15;3;1024;0;16014.37609;0.76000; 
19;15;3;1024;0;15805.35172;0.77000; 
20;15;3;1024;0;15529.27998;0.76000; 
21;15;3;1024;0;16068.80496;0.76000; 
22;15;3;1024;0;15559.44557;0.77000; 
23;15;3;1024;0;15814.14507;0.76000; 
24;15;3;1024;0;15686.59755;0.76000; 
25;15;3;1024;0;15652.02055;0.82000; 
26;15;3;1024;0;15551.95613;0.76000; 
27;15;3;1024;0;16019.10096;0.82000; 
28;15;3;1024;0;16017.65064;0.76000; 
29;15;3;1024;0;15762.53693;0.75000; 
30;15;3;1024;0;15757.51456;0.76000; 
1;15;3;2048;0;15536.10186;0.77000; 
2;15;3;2048;0;15701.87493;0.77000; 
3;15;3;2048;0;16027.56891;0.76000; 
4;15;3;2048;0;15516.72364;0.77000; 
5;15;3;2048;0;15637.45135;0.77000; 
6;15;3;2048;0;15569.13010;0.76000; 
7;15;3;2048;0;15842.20854;0.76000; 
8;15;3;2048;0;15808.95119;0.77000; 
9;15;3;2048;0;15317.57142;0.77000; 
10;15;3;2048;0;15498.95326;0.76000; 
11;15;3;2048;0;15674.78244;0.76000; 
12;15;3;2048;0;15790.62374;0.77000; 
13;15;3;2048;0;15378.75534;0.77000; 
14;15;3;2048;0;15901.96281;0.77000; 
15;15;3;2048;0;15893.32913;0.77000; 
16;15;3;2048;0;15259.82123;0.78000; 
17;15;3;2048;0;15729.22851;0.78000; 
18;15;3;2048;0;15655.15752;0.77000; 
19;15;3;2048;0;15901.84136;0.77000; 
20;15;3;2048;0;15833.89833;0.78000; 
21;15;3;2048;0;15542.33073;0.77000; 
22;15;3;2048;0;15840.69576;0.77000; 
23;15;3;2048;0;15842.25307;0.77000; 
24;15;3;2048;0;15617.25021;0.77000; 
25;15;3;2048;0;15430.56420;0.77000; 
26;15;3;2048;0;15860.24840;0.77000; 
27;15;3;2048;0;15680.88159;0.77000; 
28;15;3;2048;0;15062.93807;0.77000; 
29;15;3;2048;0;15392.51768;0.77000; 
30;15;3;2048;0;15953.49713;0.77000; 
1;15;3;4096;0;15704.96258;0.91000; 
2;15;3;4096;0;15771.01995;0.91000; 
3;15;3;4096;0;15878.15299;0.92000; 
4;15;3;4096;0;15466.59519;0.91000; 
5;15;3;4096;0;15570.86654;0.91000; 
6;15;3;4096;0;15724.62880;0.91000; 
7;15;3;4096;0;15742.45228;0.91000; 
8;15;3;4096;0;15902.20183;0.91000; 
9;15;3;4096;0;15538.20580;0.91000; 
10;15;3;4096;0;15456.88629;0.90000; 
11;15;3;4096;0;15692.16954;0.92000; 
12;15;3;4096;0;15344.47364;0.91000; 
13;15;3;4096;0;15787.58156;0.91000; 
14;15;3;4096;0;15628.03253;0.92000; 
15;15;3;4096;0;15767.23668;0.92000; 
16;15;3;4096;0;15283.73791;0.92000; 
17;15;3;4096;0;15538.34979;0.92000; 
18;15;3;4096;0;15354.40711;0.91000; 
19;15;3;4096;0;15599.11518;0.92000; 
20;15;3;4096;0;15600.08689;0.90000; 
21;15;3;4096;0;15741.91763;0.90000; 
22;15;3;4096;0;14923.93077;0.91000; 
23;15;3;4096;0;15467.84124;0.90000; 
24;15;3;4096;0;15249.74426;0.91000; 
25;15;3;4096;0;15756.40308;0.91000; 
26;15;3;4096;0;15774.21250;0.90000; 
27;15;3;4096;0;15779.20220;0.91000; 
28;15;3;4096;0;15665.20059;0.96000; 
29;15;3;4096;0;15714.46103;0.91000; 
30;15;3;4096;0;15411.12925;0.91000; 
1;15;3;8192;0;15405.32900;1.71000; 
2;15;3;8192;0;15522.21826;1.71000; 
3;15;3;8192;0;15533.96519;1.71000; 
4;15;3;8192;0;15375.47952;1.70000; 
5;15;3;8192;0;15454.16438;1.72000; 
6;15;3;8192;0;15028.29693;1.72000; 
7;15;3;8192;0;15094.23694;1.71000; 
8;15;3;8192;0;15632.92743;1.72000; 
9;15;3;8192;0;15569.32256;1.71000; 
10;15;3;8192;0;15582.97089;1.72000; 
11;15;3;8192;0;15287.60682;1.72000; 
12;15;3;8192;0;15766.07278;1.71000; 
13;15;3;8192;0;15610.97537;1.72000; 
14;15;3;8192;0;15385.76507;1.71000; 
15;15;3;8192;0;15295.05432;1.71000; 
16;15;3;8192;0;15464.41527;1.72000; 
17;15;3;8192;0;15555.36573;1.73000; 
18;15;3;8192;0;15512.90892;1.72000; 
19;15;3;8192;0;15487.76018;1.73000; 
20;15;3;8192;0;15626.08398;1.72000; 
21;15;3;8192;0;15479.86278;1.72000; 
22;15;3;8192;0;15411.47258;1.73000; 
23;15;3;8192;0;15511.91365;1.73000; 
24;15;3;8192;0;15149.67270;1.73000; 
25;15;3;8192;0;15508.57932;1.73000; 
26;15;3;8192;0;15541.35902;1.72000; 
27;15;3;8192;0;15524.17363;1.73000; 
28;15;3;8192;0;15377.06653;1.72000; 
29;15;3;8192;0;15054.48611;1.72000; 
30;15;3;8192;0;15176.30614;1.73000; 
